customer_id,surname,gender,age,Geography,credit_score,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,exited
15588614,Walton,Male,57,France,753,7,0.0,1,1,0,159475.08,1
15641158,Belcher,Male,32,Germany,739,3,102128.27,1,1,0,63981.37,1
15750014,Chikere,Female,37,Germany,755,0,113865.23,2,1,1,117396.25,0
15663964,Pagnotto,Male,37,France,561,5,0.0,2,1,0,83093.25,0
15573520,Rhodes,Male,49,Germany,692,6,110540.43,2,0,1,107472.99,0
15645045,Rudduck,Female,38,France,659,9,0.0,2,1,1,132809.18,0
15617052,Watson,Male,34,France,782,9,0.0,1,1,0,183021.06,1
15716835,Rossi,Male,24,France,546,8,156325.38,1,1,1,125381.02,0
15763612,T'an,Male,41,Germany,756,2,124439.49,2,0,1,47093.11,0
15705113,P'an,Male,34,Spain,685,6,83264.28,1,0,0,9663.28,0
15649150,Buddicom,Female,53,France,531,5,127642.44,1,1,0,141501.45,1
15670552,Peavy,Female,31,France,560,3,115141.18,1,1,0,39806.75,0
15752488,Emery,Female,31,Spain,733,9,102289.85,1,1,1,115441.66,0
15740602,Boyle,Female,27,Germany,674,4,111568.01,1,0,1,22026.18,0
15621140,Nwebube,Male,37,Spain,644,9,0.0,2,1,1,96442.86,0
15793324,McKenzie,Male,32,Spain,695,9,0.0,3,0,1,38533.79,0
15810716,Kerr,Male,42,Germany,750,8,151836.36,2,1,0,68695.38,0
15729689,Chan,Male,35,Germany,754,6,98585.94,2,0,1,106116.84,0
15768474,Clements,Male,34,Spain,744,3,0.0,2,1,0,27244.35,0
15773723,Duncan,Female,22,Spain,588,9,67178.19,1,1,1,163534.75,1
15690898,Bogolyubova,Male,44,France,696,8,161889.79,1,0,0,75562.47,0
15613189,Browne,Female,52,France,774,2,56580.93,1,1,0,113266.28,1
15634719,Chinwendu,Male,31,France,704,0,0.0,2,1,0,183038.33,0
15699450,Li,Male,48,France,723,7,0.0,2,1,1,150694.58,0
15616280,Hsia,Male,46,France,536,1,65733.41,1,1,0,61094.53,0
15794875,Hung,Male,35,Spain,691,6,0.0,2,0,1,178038.17,0
15673578,Page,Female,40,Germany,611,7,128486.91,2,1,0,10109.47,0
15709135,Pirozzi,Male,30,Germany,691,7,101231.77,2,0,0,156529.44,0
15755225,Ryan,Male,34,Germany,659,9,134464.58,2,1,0,178833.34,0
15701522,Yermolayeva,Female,29,France,711,9,0.0,2,0,1,3234.8,0
15716994,Green,Male,24,Spain,559,3,114739.92,1,1,0,85891.02,1
15725141,Whiddon,Female,44,France,716,3,109528.28,1,1,0,27341.63,1
15662501,Ebelechukwu,Male,48,France,583,3,91246.53,1,1,0,60017.46,1
15734674,Lin,Female,41,France,593,6,0.0,1,1,0,65170.66,0
15787189,Tai,Male,60,Germany,824,8,134250.17,3,0,0,153046.16,1
15587299,Board,Female,48,France,567,3,0.0,1,1,0,55362.45,0
15605263,Chin,Male,33,France,552,5,140931.57,1,0,1,10921.5,0
15748481,Howey,Female,27,France,564,6,0.0,1,0,0,7819.76,0
15589428,Tomlinson,Female,42,France,756,9,0.0,2,1,0,35673.42,0
15638803,Donaldson,Female,32,Spain,733,5,0.0,2,1,0,131625.14,0
15595037,Palermo,Male,47,France,772,9,152347.01,1,0,1,17671.78,0
15719940,Gibbons,Female,51,Germany,628,10,115280.49,2,0,0,12628.61,1
15573284,Olisanugo,Female,45,France,579,2,0.0,2,0,0,11514.39,0
15594917,Miller,Female,34,France,676,1,63095.01,1,1,1,40645.81,0
15656300,Lucciano,Male,29,France,411,0,59697.17,2,1,1,53483.21,0
15687372,Padovesi,Male,49,Germany,547,8,121537.71,2,1,0,46521.45,1
15649060,Chien,Female,31,Germany,727,3,82729.47,2,1,0,60212.51,0
15812356,Doherty,Female,40,Germany,722,6,89175.06,2,0,1,152883.95,0
15590201,Fiorentini,Female,50,Spain,500,5,0.0,4,1,1,83866.35,1
